date,city,sequenced,b117
2020-11-04,Zürich,2,0
2020-11-06,Zürich,1,0
2020-11-09,Zürich,2,0
2020-11-10,Lausanne,0,0
2020-11-12,Zürich,2,0
2020-11-16,Zürich,1,0
2020-11-18,Zürich,2,0
2020-11-20,Zürich,2,0
2020-11-21,Zürich,0,0
2020-11-25,Zürich,3,0
2020-11-27,Zürich,3,0
2020-11-28,Zürich,1,0
2020-11-29,Zürich,3,0
2020-11-30,Lausanne,1,0
2020-12-03,Zürich,12,0
2020-12-07,Zürich,3,0
2020-12-14,Zürich,1,0
2020-12-17,Zürich,2,0
2020-12-18,Zürich,6,0
2020-12-19,Zürich,6,0
2020-12-20,Zürich,1,0
2020-12-21,Lausanne,0,0
2020-12-21,Zürich,1,0
2020-12-22,Zürich,3,0
2020-12-25,Zürich,0,0
2020-12-29,Zürich,3,0
2020-12-30,Zürich,7,0
2020-12-31,Zürich,2,0
2021-01-01,Zürich,9,0
2021-01-02,Zürich,1,0
2021-01-04,Zürich,2,0
2021-01-05,Zürich,2,0
2021-01-06,Zürich,0,0
2021-01-07,Zürich,1,0
2021-01-08,Zürich,2,0
2021-01-09,Zürich,1,0
2021-01-10,Zürich,3,0
2021-01-11,Zürich,1,0
2021-01-12,Zürich,1,0
2021-01-13,Zürich,1,0
2021-01-14,Zürich,2,0
2021-01-15,Zürich,1,1
2021-01-17,Zürich,2,0
2021-01-18,Zürich,10,0
2021-01-20,Lausanne,1,0
2021-01-20,Zürich,0,0
2021-01-21,Zürich,3,0
2021-01-22,Zürich,3,0
2021-01-24,Zürich,1,0
2021-01-25,Zürich,10,0
2021-01-26,Zürich,0,0
2021-01-27,Lausanne,1,0
2021-01-27,Zürich,2,0
2021-01-28,Zürich,2,1
2021-01-29,Zürich,0,0
2021-01-30,Zürich,3,1
2021-02-01,Zürich,11,0
2021-02-02,Lausanne,1,0
2021-02-02,Zürich,3,2
2021-02-03,Zürich,1,1
2021-02-05,Zürich,1,0
2021-02-08,Zürich,1,1
2021-02-10,Zürich,1,0
2021-02-11,Zürich,2,0
2021-02-16,Zürich,1,0
2021-02-17,Lausanne,1,0
2021-02-17,Zürich,1,0
2021-02-19,Zürich,3,2
2021-02-22,Zürich,1,1
2021-02-23,Zürich,4,2
2021-02-24,Zürich,1,0
2021-03-01,Zürich,2,2
2021-03-03,Zürich,3,1
2021-03-04,Zürich,2,1
2021-03-05,Zürich,0,0
2021-03-06,Zürich,1,1
2021-03-08,Zürich,0,0
2021-03-09,Zürich,1,1
2021-03-10,Zürich,2,1
