date,canton,cases,sequenced,b117
2020-11-01,AG,110,0,0
2020-11-01,AI,3,0,0
2020-11-01,AR,14,0,0
2020-11-01,BE,299,0,0
2020-11-01,BL,59,0,0
2020-11-01,BS,51,0,0
2020-11-01,FL,22,0,0
2020-11-01,FR,337,0,0
2020-11-01,GE,370,0,0
2020-11-01,GL,6,0,0
2020-11-01,GR,37,0,0
2020-11-01,JU,94,0,0
2020-11-01,LU,74,0,0
2020-11-01,NE,133,0,0
2020-11-01,NW,8,0,0
2020-11-01,OW,3,0,0
2020-11-01,SG,95,0,0
2020-11-01,SH,16,0,0
2020-11-01,SO,78,0,0
2020-11-01,SZ,49,0,0
2020-11-01,TG,41,0,0
2020-11-01,TI,166,0,0
2020-11-01,UR,14,0,0
2020-11-01,VD,830,0,0
2020-11-01,VS,321,0,0
2020-11-01,ZG,38,0,0
2020-11-01,ZH,380,0,0
2020-11-02,AG,490,14,0
2020-11-02,AI,14,0,0
2020-11-02,AR,40,0,0
2020-11-02,BE,1013,33,0
2020-11-02,BL,177,20,0
2020-11-02,BS,110,1,0
2020-11-02,FL,45,0,0
2020-11-02,FR,866,0,0
2020-11-02,GE,1302,7,0
2020-11-02,GL,39,0,0
2020-11-02,GR,125,2,0
2020-11-02,JU,157,0,0
2020-11-02,LU,289,2,0
2020-11-02,NE,380,0,0
2020-11-02,NW,19,0,0
2020-11-02,OW,38,0,0
2020-11-02,SG,696,0,0
2020-11-02,SH,45,0,0
2020-11-02,SO,203,13,0
2020-11-02,SZ,151,2,0
2020-11-02,TG,241,0,0
2020-11-02,TI,502,3,0
2020-11-02,UR,25,0,0
2020-11-02,VD,1617,12,0
2020-11-02,VS,850,7,0
2020-11-02,ZG,62,0,0
2020-11-02,ZH,1060,9,0
2020-11-03,AG,426,2,0
2020-11-03,AI,22,0,0
2020-11-03,AR,64,0,0
2020-11-03,BE,835,5,0
2020-11-03,BL,137,12,0
2020-11-03,BS,104,0,0
2020-11-03,FL,35,0,0
2020-11-03,FR,825,0,0
2020-11-03,GE,1445,3,0
2020-11-03,GL,22,0,0
2020-11-03,GR,144,3,0
2020-11-03,JU,119,4,0
2020-11-03,LU,292,2,0
2020-11-03,NE,382,14,0
